number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
1065,52.73,2025-01-21 04:11:15.592041,2025-01-21 04:14:43.520646,0 days 00:03:27.928605,0.9669327997504743,1.3140947833408867,0.38465539161406304,0.030606156912841492,15,4,SGD,0.0018808913162259048,2,,False,COMPLETE
1066,52.92,2025-01-21 04:11:56.431039,2025-01-21 04:15:19.100279,0 days 00:03:22.669240,0.9732480772038239,1.35917860392504,0.3896886801651192,0.034049819914734686,17,4,SGD,0.0014990597193505406,2,,False,COMPLETE
1067,52.94,2025-01-21 04:14:43.620847,2025-01-21 04:17:01.286947,0 days 00:02:17.666100,1.0089308203095748,1.3606965517845537,0.4067617504186049,0.03144619591443715,17,4,SGD,0.0014741886223639915,2,,False,COMPLETE
1068,53.080000000000005,2025-01-21 04:15:19.193682,2025-01-21 04:17:34.270179,0 days 00:02:15.076497,0.9182262730817133,1.3572757422574684,0.42516634886600285,0.028657465823416085,20,5,SGD,0.0012572569263358164,2,,False,COMPLETE
1069,52.839999999999996,2025-01-21 04:17:01.419463,2025-01-21 04:19:29.584707,0 days 00:02:28.165244,1.0612286908131248,1.384892987107091,0.4282474470354875,0.025904171745955055,27,5,SGD,0.0011765251387087653,2,,False,COMPLETE
1070,52.89,2025-01-21 04:17:34.385904,2025-01-21 04:20:52.602213,0 days 00:03:18.216309,1.072782819035484,1.3188415569757221,0.43035044876622314,0.02481408711167914,21,3,SGD,0.0011505376227119687,2,,False,COMPLETE
1071,52.55,2025-01-21 04:19:29.709895,2025-01-21 04:22:44.350655,0 days 00:03:14.640760,1.0638758103767052,1.3368632205581865,0.36321357137590327,0.034302449686936756,13,4,SGD,0.002271400716797726,2,,False,COMPLETE
1072,52.65,2025-01-21 04:20:52.730530,2025-01-21 04:24:08.586237,0 days 00:03:15.855707,1.0376178363801323,1.3115928516574322,0.4048660446897079,0.03473238995506234,13,4,SGD,0.0022416795687238526,2,,False,COMPLETE
1073,52.949999999999996,2025-01-21 04:22:44.460297,2025-01-21 04:26:50.698277,0 days 00:04:06.237980,0.9911941403890879,1.4137292846595377,0.4074647525075187,0.027144571616636675,19,3,SGD,0.00162239477062516,2,,False,COMPLETE
1074,52.96999999999999,2025-01-21 04:24:08.704362,2025-01-21 04:27:59.812270,0 days 00:03:51.107908,0.934749996772225,1.4128865080751323,0.4468742192867665,0.022917562917322273,19,3,SGD,0.0016879067765205589,2,,False,COMPLETE
1075,49.94,2025-01-21 04:26:50.804340,2025-01-21 04:28:07.028245,0 days 00:01:16.223905,0.9215568268517572,1.3912186246386118,0.4478703024397904,0.02860992757899244,16,11,SGD,0.0017324138755915746,2,,False,COMPLETE
1076,53.04,2025-01-21 04:27:59.915336,2025-01-21 04:30:22.013420,0 days 00:02:22.098084,1.0409393259271567,1.3815907108654621,0.418671138492575,0.029584143041710965,16,4,SGD,0.0012918426609008534,2,,False,COMPLETE
1077,53.12,2025-01-21 04:28:07.125691,2025-01-21 04:30:35.086502,0 days 00:02:27.960811,1.0034352553097998,1.2785341026979613,0.42861460959272146,0.031226854306731028,17,4,SGD,0.0013534507831003046,2,,False,COMPLETE
1078,53.23,2025-01-21 04:30:22.102479,2025-01-21 04:32:44.023320,0 days 00:02:21.920841,0.9892832878890039,1.2728549468498702,0.4312585060585564,0.03653854732446391,18,4,SGD,0.0011007400685552162,0,,False,COMPLETE
1079,53.1,2025-01-21 04:30:35.205402,2025-01-21 04:32:58.869264,0 days 00:02:23.663862,0.95375780056093,1.3498369981333695,0.4390850502699246,0.033648186622086663,23,5,SGD,0.001003789045018253,0,,False,COMPLETE
